valid_time,u10,v10,t2m,ssrd,latitude,longitude
2024-01-05 03:00:00,-4.509781,0.30014038,274.4662,0.0,53.0,8.75
2024-01-05 04:00:00,-4.775543,0.20323181,274.1825,0.0,53.0,8.75
2024-01-05 05:00:00,-5.0624695,0.25421143,273.96887,0.0,53.0,8.75
2024-01-05 06:00:00,-5.3246,0.114486694,274.42072,0.0,53.0,8.75
2024-01-05 07:00:00,-5.470581,0.5665283,274.66666,0.0,53.0,8.75
2024-01-05 08:00:00,-5.1879883,1.006073,275.0326,960.0,53.0,8.75
2024-01-05 09:00:00,-4.894943,1.1073914,275.20502,43456.0,53.0,8.75
2024-01-05 10:00:00,-5.024521,1.0203247,275.4673,73856.0,53.0,8.75
2024-01-05 11:00:00,-5.038666,1.2773895,275.58365,191488.0,53.0,8.75
2024-01-05 12:00:00,-4.3782654,0.65802,276.06635,306560.0,53.0,8.75
2024-01-05 13:00:00,-4.1259155,0.40075684,276.34082,247872.0,53.0,8.75
2024-01-05 14:00:00,-4.209198,0.25291443,276.5177,202880.0,53.0,8.75
2024-01-05 15:00:00,-4.3389587,0.07714844,276.6455,31936.0,53.0,8.75
2024-01-05 16:00:00,-4.3050995,0.11697388,276.67026,1920.0,53.0,8.75
2024-01-05 17:00:00,-4.2923737,0.14172363,276.6421,0.0,53.0,8.75
2024-01-05 18:00:00,-4.179901,0.2210846,276.64764,0.0,53.0,8.75
2024-01-05 19:00:00,-4.0919952,0.10891724,276.71487,0.0,53.0,8.75
2024-01-05 20:00:00,-3.9375916,-0.0716095,276.66623,0.0,53.0,8.75
2024-01-05 21:00:00,-3.9015198,-0.43043518,276.5656,0.0,53.0,8.75
2024-01-05 22:00:00,-3.7099457,-1.0799103,275.93854,0.0,53.0,8.75
2024-01-05 23:00:00,-3.6966858,-1.3626099,275.81805,0.0,53.0,8.75
2024-01-06 00:00:00,-3.6124573,-1.3591003,275.61786,0.0,53.0,8.75
2024-01-06 01:00:00,-3.3286743,-1.7556,275.38046,0.0,53.0,8.75
2024-01-06 02:00:00,-3.2119293,-2.214676,275.0849,0.0,53.0,8.75
2024-01-06 03:00:00,-3.2298431,-2.254074,274.76724,0.0,53.0,8.75
2024-01-06 04:00:00,-3.1235657,-2.322174,274.41547,0.0,53.0,8.75
2024-01-06 05:00:00,-2.9372864,-2.56604,274.10455,0.0,53.0,8.75
2024-01-06 06:00:00,-2.963791,-2.6832733,273.80054,0.0,53.0,8.75
2024-01-06 07:00:00,-3.020462,-2.7717896,273.7483,0.0,53.0,8.75
2024-01-06 08:00:00,-3.253418,-2.8187714,273.62708,1600.0,53.0,8.75
2024-01-06 09:00:00,-3.3997955,-2.6793365,273.63974,31808.0,53.0,8.75
2024-01-06 10:00:00,-3.195572,-2.393219,273.22107,108224.0,53.0,8.75
2024-01-06 11:00:00,-3.0546417,-2.4226685,273.1819,120832.0,53.0,8.75
2024-01-06 12:00:00,-2.9064636,-2.354599,273.15533,125568.0,53.0,8.75
2024-01-06 13:00:00,-2.9773712,-2.3598175,273.14886,185920.0,53.0,8.75
2024-01-06 14:00:00,-3.1318207,-2.4914398,273.03308,121664.0,53.0,8.75
2024-01-06 15:00:00,-3.0562897,-2.3530273,272.85852,63104.0,53.0,8.75
2024-01-06 16:00:00,-3.036789,-2.4749146,272.71643,2432.0,53.0,8.75
2024-01-06 17:00:00,-3.3836517,-2.5299072,272.70102,0.0,53.0,8.75
2024-01-06 18:00:00,-3.5590973,-2.528305,272.64685,0.0,53.0,8.75
2024-01-06 19:00:00,-3.6898956,-2.4638977,272.55365,0.0,53.0,8.75
2024-01-06 20:00:00,-3.8326569,-2.4008331,272.529,0.0,53.0,8.75
2024-01-06 21:00:00,-3.6103363,-2.3832397,272.4344,0.0,53.0,8.75
2024-01-06 22:00:00,-4.1576385,-1.9874725,272.48505,0.0,53.0,8.75
2024-01-06 23:00:00,-3.7838593,-2.1264648,272.39655,0.0,53.0,8.75
2024-01-07 00:00:00,-3.7649078,-2.3088837,272.3258,0.0,53.0,8.75
2024-01-07 01:00:00,-4.449692,-2.0252075,272.1134,0.0,53.0,8.75
2024-01-07 02:00:00,-3.7239075,-1.8383789,272.26657,0.0,53.0,8.75
2024-01-07 03:00:00,-3.5992584,-2.2479706,272.27942,0.0,53.0,8.75
2024-01-07 04:00:00,-3.8709106,-2.4382782,272.16144,0.0,53.0,8.75
2024-01-07 05:00:00,-4.128586,-2.3695679,271.98193,0.0,53.0,8.75
2024-01-07 06:00:00,-3.906601,-2.2766266,271.61154,0.0,53.0,8.75
2024-01-07 07:00:00,-3.7394867,-2.3676605,271.52417,0.0,53.0,8.75
2024-01-07 08:00:00,-3.4376373,-2.4837646,271.63107,6912.0,53.0,8.75
2024-01-07 09:00:00,-3.0503235,-2.5772095,271.87927,176256.0,53.0,8.75
2024-01-07 10:00:00,-3.4662933,-2.5463257,272.20367,466944.0,53.0,8.75
2024-01-07 11:00:00,-3.2606506,-2.9025726,272.63455,671488.0,53.0,8.75
2024-01-07 12:00:00,-3.3798676,-3.2099915,272.88965,729984.0,53.0,8.75
2024-01-07 13:00:00,-2.9398346,-3.351303,272.8577,530560.0,53.0,8.75
2024-01-07 14:00:00,-2.538498,-3.5596771,272.60828,265472.0,53.0,8.75
2024-01-07 15:00:00,-1.8193512,-3.608368,272.2166,153280.0,53.0,8.75
2024-01-07 16:00:00,-1.7822723,-3.8022766,271.64246,7552.0,53.0,8.75
2024-01-07 17:00:00,-2.0018616,-3.8348541,271.10175,0.0,53.0,8.75
2024-01-07 18:00:00,-2.5361328,-3.855072,270.8052,0.0,53.0,8.75
2024-01-07 19:00:00,-2.8626251,-3.7255707,270.51474,0.0,53.0,8.75
2024-01-07 20:00:00,-2.8570557,-3.5930176,270.40723,0.0,53.0,8.75
2024-01-07 21:00:00,-2.1271057,-3.5239563,270.59418,0.0,53.0,8.75
2024-01-07 22:00:00,-1.8392487,-3.6778107,270.6258,0.0,53.0,8.75
2024-01-07 23:00:00,-1.9283295,-4.148987,270.69705,0.0,53.0,8.75
2024-01-08 00:00:00,-2.0285034,-4.118286,270.61856,0.0,53.0,8.75
2024-01-08 01:00:00,-2.449417,-3.9525604,270.6509,0.0,53.0,8.75
2024-01-08 02:00:00,-2.853653,-4.0812836,270.7373,0.0,53.0,8.75
2024-01-08 03:00:00,-3.0644531,-4.1531677,270.91498,0.0,53.0,8.75
2024-01-08 04:00:00,-3.5120544,-4.2194824,271.08893,0.0,53.0,8.75
2024-01-08 05:00:00,-3.5113525,-3.8610077,271.3331,0.0,53.0,8.75
2024-01-08 06:00:00,-3.0003052,-3.4815826,271.5332,0.0,53.0,8.75
2024-01-08 07:00:00,-3.5318604,-3.021881,271.57294,0.0,53.0,8.75
2024-01-08 08:00:00,-4.0737915,-2.5513,271.67645,4864.0,53.0,8.75
2024-01-08 09:00:00,-4.4114685,-2.3997345,271.737,146816.0,53.0,8.75
2024-01-08 10:00:00,-4.7686157,-1.7882233,271.71002,375360.0,53.0,8.75
2024-01-08 11:00:00,-4.989685,-1.7593689,272.08197,603264.0,53.0,8.75
2024-01-08 12:00:00,-5.187088,-2.0270844,272.2635,634432.0,53.0,8.75
2024-01-08 13:00:00,-5.2487335,-2.2785645,272.43597,563584.0,53.0,8.75
